Sampling date(mm/dd/yyyy)	Field	Experiment number	plot number	Ntrt	NAdd(g/m2/yr)	BurnTrt	Species Name	Species Biomass (g/m2)	Maximum plant height (cm)	Median plant height (cm)	Subplot	LastYrNtrtRec
8/4/1982	A	2	10	4	10	0	Cyperus sp.	0.353	18	16.3	Whole	1982
8/4/1982	A	2	10	4	10	0	Achillea millefolium(lanulosa)	0.027	-2	-2	Whole	1982
8/4/1982	A	2	10	4	10	0	Ambrosia coronopifolia	90.767	73	57	Whole	1982
8/4/1982	A	2	10	4	10	0	Berteroa incana	21.867	56	33	Whole	1982
8/4/1982	A	2	10	4	10	0	Chenopodium album	0.36	-2	-2	Whole	1982
8/4/1982	A	2	10	4	10	0	Euphorbia glyptosperma	0.48	9	8.3	Whole	1982
8/4/1982	A	2	10	4	10	0	Polygonum convolvulus	12.267	-2	-2	Whole	1982
8/4/1982	A	2	11	7	50	0	Ambrosia artemisiifolia	181	76	58	Whole	1982
8/4/1982	A	2	11	7	50	0	Miscellaneous litter	0	-3	-3	Whole	1982
8/4/1982	A	2	11	7	50	0	Setaria lutescens	3.6	59.5	30	Whole	1982
8/4/1982	A	2	11	7	50	0	Berteroa incana	18.267	51	40	Whole	1982
8/4/1982	A	2	11	7	50	0	Euphorbia (supina)	3.467	9.5	9.5	Whole	1982
8/4/1982	A	2	11	7	50	0	Polygonum convolvulus	61.367	-2	-2	Whole	1982
8/4/1982	A	2	11	7	50	0	Mollugo verticillata	0.82	14.5	10	Whole	1982
8/4/1982	A	2	11	7	50	0	Agropyron repens	112.967	72	50	Whole	1982
8/4/1982	A	2	11	7	50	0	Chenopodium album	114.667	112.5	80	Whole	1982
8/4/1982	A	2	12	1	0	0	Ambrosia artemisiifolia	90.3	65	45	Whole	1991
8/4/1982	A	2	12	1	0	0	Mollugo verticillata	0.057	-2	-2	Whole	1991
8/4/1982	A	2	12	1	0	0	Verbascum thapsus	0.06	-2	-2	Whole	1991
8/4/1982	A	2	12	1	0	0	Polygonum convolvulus	2.967	-2	-2	Whole	1991
8/4/1982	A	2	12	1	0	0	Berteroa incana	17.9	61	30	Whole	1991
8/4/1982	A	2	12	1	0	0	Setaria lutescens	52	74	47	Whole	1991
8/4/1982	A	2	12	1	0	0	Agropyron repens	55.667	46	25	Whole	1991
8/4/1982	A	2	12	1	0	0	Chenopodium album	5.967	43	43	Whole	1991
8/4/1982	A	2	13	3	6	0	Berteroa incana	2.9	41	30	Whole	1991
8/4/1982	A	2	13	3	6	0	Panicum capillare	6.7	34	32	Whole	1991
8/4/1982	A	2	13	3	6	0	Agrostis scabra	0.77	25	25	Whole	1991
8/4/1982	A	2	13	3	6	0	Polygonum convolvulus	2.1	-2	-2	Whole	1991
8/4/1982	A	2	13	3	6	0	Chenopodium album	22.7	67	50.5	Whole	1991
8/4/1982	A	2	13	3	6	0	Agropyron repens	109.633	76	52	Whole	1991
8/4/1982	A	2	13	3	6	0	Setaria lutescens	15.833	73.5	37	Whole	1991
8/4/1982	A	2	13	3	6	0	Digitaria ischaemum	6.733	39	35	Whole	1991
8/4/1982	A	2	13	3	6	0	Ambrosia coronopifolia	10.567	49	26	Whole	1991
8/4/1982	A	2	14	1	0	0	Ambrosia artemisiifolia	8.233	59.5	31	Whole	1982
8/4/1982	A	2	14	1	0	0	Berteroa incana	2.667	38	37	Whole	1982
8/4/1982	A	2	14	1	0	0	Polygonum convolvulus	23.367	-2	-2	Whole	1982
8/4/1982	A	2	14	1	0	0	Agropyron repens	90.233	88.5	46	Whole	1982
8/4/1982	A	2	14	1	0	0	Setaria lutescens	54.867	97	59	Whole	1982
8/4/1982	A	2	15	6	28	0	Polygonum convolvulus	49.2	-2	-2	Whole	1982
8/4/1982	A	2	15	6	28	0	Chenopodium album	61.933	80	45	Whole	1982
8/4/1982	A	2	15	6	28	0	Berteroa incana	32.067	53	41	Whole	1982
8/4/1982	A	2	15	6	28	0	Ambrosia coronopifolia	288.367	94	81	Whole	1982
8/4/1982	A	2	15	6	28	0	Hedeoma hispida	0.743	20	20	Whole	1982
8/4/1982	A	2	15	6	28	0	Agropyron repens	68.2	62	43	Whole	1982
