"scale","tscale","iter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
0.01,39,1,NA,-0.0657289000111977,NA,0.0501396497717184,0.0305840403343261,-0.0313889225333745,0.0275088785002585,NA,0.058171372854317,0.0590406434101037,0.0657679322426035,0.0412676387803615,0.012051375108865,-0.0441399826084722,NA,-0.0531643525918573,-0.0495371924796466,NA,NA,0.0054235323097879,0.0657679322426035,0.052227741724642,NA,0.0553713910090608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,40,1,0.00135528233803978,-0.0841823788508667,NA,0.0371223709751503,NA,-0.0112629196696712,0.0329431749673127,NA,0.0567170885329591,0.0587843814290869,0.0631432161077064,0.0402359478108525,0.0274653072167028,-0.0236597836315718,NA,-0.044706608678725,-0.117264798071635,NA,NA,0.018723587348109,0.0621226662447,0.0530065884050023,NA,0.0575646273248511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,41,1,-0.0174150544970409,-0.0817771680265562,0.118583017176781,0.016837105654731,NA,-0.029692224018057,0.0617450429051721,-0.0159633007426872,0.0599203847029586,0.052196735695031,0.0643672519418356,0.0491439761107869,0.016906028794145,-0.0604877451853101,NA,-0.0380747896478905,-0.0247746547773874,-0.0242085102967772,NA,-0.00525113878579518,0.0592133716084891,0.0485958576753709,NA,0.0517137447853681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,42,1,NA,-0.0297344836583726,0.11031835969181,0.0163820487451437,0.0184715639887014,0.0289108497017924,0.00709640965655536,-0.0364840243735132,0.0504824651476212,0.0463311940251265,0.0581511198897429,0.0405892402913911,0.0227502725006532,-0.022414531861489,NA,-0.0370728214992618,-0.0362063256223184,-0.0235360516774223,NA,-0.0224485398301489,0.0570927445904374,0.0523148708889576,NA,0.0504824651476212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,43,1,NA,-0.0398893654002589,0.0866870202726405,0.0706730880328987,0.0257475236768927,0.0130980929170767,0.0454805375314199,0.0292132874414789,0.0543110445538846,0.0497689805464249,0.0605276671033578,0.0416688248657687,-0.0374287886612581,-0.0161181707544198,NA,-0.047711598479872,-0.0316396533229589,0.0145674729927753,NA,-0.00499498567429297,0.0557650063441481,0.0510982459845632,NA,0.0493084543302347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,44,1,NA,-0.0281695108342477,0.0924297360491873,0.0745825870913939,0.0397966885258014,-0.0274653072167027,-0.010587090340271,0.00520918733697013,0.0564751511315455,0.0472600350381781,0.0582943035786713,0.0365781343735023,-0.0208247893607762,0.0016134630284393,NA,-0.0402359478108525,-0.0339434302709235,0.0324248337182272,NA,0.0212813780005261,0.0551760962715466,0.0419506066022348,NA,0.0544976198363266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,45,1,-0.0593103928638056,-0.0378437569181943,0.0818710747019382,0.0426187023059606,-0.0111188714121759,0.016906028794145,0.0333725818443223,NA,0.0518972203514897,0.0511685576220899,0.0569988746102564,0.0462098120373297,-0.0203620162638701,-0.0153319185224969,NA,-0.0928454265797639,-0.0994974044244173,-0.00395258153403226,NA,0.0243713617639385,0.0545941282849179,0.0479885388745194,NA,0.0539499607988456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,46,1,-0.00145052183303574,-0.0313190742123842,0.0983920505359384,0.0584852505560578,-0.0281695791408702,1.85037170770859e-17,0.0282370071148395,NA,0.050769019909066,0.0452052509060834,0.0565802105531388,0.0389512928093055,5.12874766810534e-18,-0.0367833188403935,NA,NA,-0.0761843283954655,-0.0211824465096801,NA,0.0110989265434985,0.0514592090028612,0.0477657516812222,NA,0.0493192074199645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,47,1,-0.0216875141926181,-0.0430143559088136,0.111753728247369,0.0405892402913911,NA,0.0066902807546926,-0.00984845613048468,0.0305170080185586,0.0482698625812418,0.0398255782319488,0.0519648305397703,0.0342433598390234,-0.0342433598390234,-0.0198081909473624,NA,NA,-0.0310339933905586,-0.0206658014728586,NA,0.015811029316181,0.0503643322155663,0.0496888279961072,NA,0.0451119901319168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,48,1,-0.0281751863452806,-0.0351406314240376,0.103742845588151,0.0140961814783794,NA,-0.00921511609336735,0.0310971785367549,0.0387860682510628,0.05176888853725,0.0479705227707093,0.0534364449471153,0.0260992285103202,-0.0190893902473782,-0.00663946415457183,NA,-0.0460681026873507,-0.0272452570281035,0.0224871811628774,NA,-0.0195204694175208,0.0534364449471153,0.05176888853725,NA,0.0486536440795216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,49,1,-0.00733058999450714,-0.0291340225231481,0.0864546078258941,0.0610358487556853,-0.0711839667039722,-0.00901033573573697,NA,-0.0134427795727892,0.0507123806079184,0.0469915325100826,0.055266330634739,0.0328456716823286,-0.0045539500268206,-0.0139690813204972,NA,-0.0562876308988472,-0.040314996669668,NA,NA,NA,0.0489366382203749,0.0415690189236947,NA,0.0483086451863595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,50,1,-0.0268647125617792,-0.0650500200211243,0.0887928260934078,0.0288729552028947,-0.0433316749093988,NA,NA,0.0150714529462082,0.0541610040220442,0.0460517018598809,0.0512989871492307,0.0340949618447685,0.0138629436111989,-0.048653186344706,NA,-0.055008366560237,-0.0258112961318875,NA,NA,NA,0.0473424722826323,0.0379423996977176,NA,0.048554964718961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,51,1,-0.0262541509126478,-0.0278391770776748,0.0866787111864219,0.0131768652950069,-0.0423239615394128,NA,-0.00535915681815304,0.0274653072167027,0.0407733635623497,0.0351325386123148,0.0517462221493188,0.0315576061261588,NA,-0.00949547026868976,NA,-0.0601788933578269,-0.0278510197094757,NA,NA,-0.0191051402809778,0.0470175543685955,0.0407733635623497,NA,0.0481712896631628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,52,1,-0.0256707253368112,-0.0272339775759863,0.0882478267362088,0.0510190483574121,NA,0.000790600960236429,0.00357180546285386,0.00444686723887694,0.0436285296407378,0.0344569128697703,0.0507511024926011,0.0399892604169199,NA,-0.00608617547502417,NA,-0.0978219493550058,-0.0161089254097628,NA,NA,0.000382273722254125,0.0449110560734045,0.0374213490202945,NA,0.0442804825575778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,53,1,-0.0140077612258807,-0.011906718892243,0.0862421943103859,0.0270683955027138,NA,-0.00862691719379072,0.00961670476049061,0.00434098944747511,0.0414570674969098,0.0424772037472924,0.0483952708955007,0.0321650583441212,0.0215414174248649,-0.0232537608813952,NA,-0.0723659017374927,-0.0800832767318481,0.0475133464536968,NA,-0.0100505405121999,0.0440636776569252,0.0367152858312323,NA,0.0468850311280755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01,54,1,-0.0137097237529896,-0.036741429005445,NA,0.0265159792679645,-0.0321469372292406,-0.00625217900938203,-0.019464775778684,0.0136694573233051,0.0351318515719608,0.0373130188989308,0.054032791334894,0.0406893440247448,0.0344569128697703,-0.0227886856637673,NA,-0.0479705227707093,-0.0616730277487101,0.050994195294798,NA,0.0121227160714063,0.0438356224839188,0.0321222417664464,NA,0.0426404646850749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
